farm_id,farmer_id,state,district,village,area_in_acres,calculated_area_in_acres,lon,lat
14361,10340,HARYANA,YAMUNANAGAR,Dhourang,9.2,9.42,77.19847110518155,30.06623497015979
14359,10340,HARYANA,YAMUNANAGAR,Dhourang,3.3,3.38,77.1884289967281,30.062854330047493
14358,10340,HARYANA,YAMUNANAGAR,Dhourang,3.0,3.07,77.19301288141803,30.066650566714987
14357,10340,HARYANA,YAMUNANAGAR,Dhourang,2.3,2.32,77.1867343127031,30.069491970553855
14356,10340,HARYANA,YAMUNANAGAR,Dhourang,8.8,9.91,77.18391875714639,30.071079850658563
5065,4025,HARYANA,SIRSA,Kariwala,24.0,24.32,74.6531106728925,29.56044620008183
7686,5554,HARYANA,KURUKSHETRA,marchedi,25.0,24.5,76.92988662414318,30.04831467557424
7684,5554,HARYANA,KURUKSHETRA,marchedi,14.0,13.0,76.92969933492095,30.03937173113221
7681,5554,HARYANA,KURUKSHETRA,marchedi,14.0,14.75,76.93328745343906,30.040264719699945
7677,5554,HARYANA,KURUKSHETRA,marchedi,16.0,17.72,76.92721989931213,30.042542424855636
7667,5554,HARYANA,KURUKSHETRA,marchedi,10.0,9.12,76.93578518131412,30.038837120727383
6909,5554,HARYANA,KURUKSHETRA,marchedi,12.0,11.16,76.92793930048927,30.038489467700668
